class_id,class_name,keywords_pos,keywords_neg,preference
46,Design of Dish Automatic Recognition and Settlement Device Based on AI Visual Technology,efficiency experience smart high-performance rapid stability quickly accurately automatic convenient precise quality,manual traditional error inaccurate slow inefficient human non-ai non-visual non-automatic waiter cashier paper queue,0
26,Research on Future Schools in the Era of Artificial Intelligence,Future Transformation Grand Progress Inspire Imagination Comprehensive Engagement Rapid Expansion Initiative Renewal Key Systematic Desired Design Construct,traditional past old current Microsoft Philadelphia society,1
43,FastRAG: Retrieval Augmented Generation for Semi-structured Data,accurate improving efficiency,inaccurate slow expensive inefficient,0
27,"Generative artificial intelligence empowers educational information science and technology research: new opportunities, new trends, and new issues",Empower New Opportunities Trends Innovation Transformation Momentum Upgrade Development Cultivation Enhance Lead Optimize Personalized Collaborative Intelligent Application Explore Reform Guidance,knowledge learning rule discovery technological innovation general scenarios research following practice,1
11,Research on comment sentiment classification prediction and topic identification based on ChatGPT large language model,aiding advancing suggestions balanced positive expectations acceptance breaks in-depth,concerns complexity limitations,0
28,A new paradigm for educational research: educational science research driven by artificial intelligence,Opportunities Promising Drive Transformation Powerful Vitality Achieve Enhance Efficiency Unleash Augmented Innovation Strengthen Integration Collaboration Synergy Pioneer New Development Empowerment Create Vision Positive Better Promote,challenge risk impact disruption problem,1
39,Insights into the Application of AI-Driven Intelligent Traditional Chinese Medicine Diagnosis and Treatment Techniques,Insights Application AI-Driven Intelligent extensive flourished promote driving effective widespread,slow,0
29,Research on artificial intelligence empowering college students' ideological and political education,Empowering Enabling Promote Advance Integration High-quality Development Strengthen Enhance Holistic Systematic Explore Possibility Necessity Value Innovation Optimization Important,lack insufficient weak fragmented dispersed unintegrated biased narrow problem separated,1
9,Playing Atari with Deep Reinforcement Learning,successfully first learn rewards outperforms surpasses,supervised unsupervised classification regression clustering svm decision tree random forest nlp speech robotics self-driving finance healthcare feature engineering rnn gan transformer,0
30,Hot topics and future prospects of educational research——Analysis based on the reprinted papers of 'Education' in the 2023 edition of Renmin University's photocopied newspapers and periodicals,Outlook Prospects Hot Prominent Wide Rich Leading New Development Construction Modernization Quality Significance Strong Independent Strategic Innovation Service Integrated Spirit Empowerment Reform Advancement High-level Openness Enhancement,enrollment admission tuition career jobs training application student exam grade scholarship degree diploma certification buy sell cost price online course classroom teaching job school application educational research journal east china normal university journal educational research and experiment journal renmin university photocopy materials free download pdf news blog forum template example sample how-to tips guide old past history definition,1
